,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
2058,The Fray,Look After You,5l6hpyTGBK0LAAxgPnqTQL,73,1.2977178626796713e-05,1.3520705750102757e-05,6,0.0,0,1.1421191668973688e-05,1.15171523197091e-05,1.1301632457475608e-05,1.1788915881362121e-05,1.2362430708022981e-05,0.0003038279134651591,audio_features,spotify:track:5l6hpyTGBK0LAAxgPnqTQL,https://api.spotify.com/v1/tracks/5l6hpyTGBK0LAAxgPnqTQL,https://api.spotify.com/v1/audio-analysis/5l6hpyTGBK0LAAxgPnqTQL,0.9999999999999999,4,Rock,Anger,0
2059,Arctic Monkeys,Fluorescent Adolescent,7e8utCy2JlSB8dRHKi49xM,69,3.421359369017412e-05,3.517613919998866e-05,6,0.0,0,3.0656209925757766e-05,3.0500473520517115e-05,3.049034431405635e-05,3.132019341516276e-05,3.5222249164530665e-05,0.0006766925483818888,audio_features,spotify:track:7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/tracks/7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,0.9999999999999999,4,Rock,Happy,1
2060,JEON SOYEON,Is this bad b****** number?,5xTy9p0IXI8lRaU6iLGikC,60,3.238225763644732e-05,3.078552322927098e-05,0,0.0,1,2.8469048691587137e-05,2.7417865206862716e-05,2.6932796648318997e-05,2.7226740936912824e-05,3.12572856677549e-05,0.0005770682822844741,audio_features,spotify:track:5xTy9p0IXI8lRaU6iLGikC,https://api.spotify.com/v1/tracks/5xTy9p0IXI8lRaU6iLGikC,https://api.spotify.com/v1/audio-analysis/5xTy9p0IXI8lRaU6iLGikC,0.9999999999999999,4,K-pop,Happy,1
2061,Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,83,2.9958369435999083e-05,2.9042449489137863e-05,0,0.0,1,2.708972299514144e-05,2.6813871639485547e-05,2.6784471350826886e-05,2.691173045486072e-05,3.0225358246420165e-05,0.00045318013208848665,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,1.0,4,Dance,Happy,1
2062,SEVENTEEN,Home,5TyCTVsBsHeeutZcU2uP5s,64,2.832082134661932e-05,2.736861348851808e-05,9,0.0,1,2.592557683758115e-05,2.677961893711525e-05,2.4683779991706854e-05,2.514074159783688e-05,2.7702377067646346e-05,0.00045650022706476194,audio_features,spotify:track:5TyCTVsBsHeeutZcU2uP5s,https://api.spotify.com/v1/tracks/5TyCTVsBsHeeutZcU2uP5s,https://api.spotify.com/v1/audio-analysis/5TyCTVsBsHeeutZcU2uP5s,0.9999999999999998,4,K-pop,Happy,1
2063,Tony Q Rastafara,Dirgahayu Indonesia,3HL3BF9FqU4U7IbXQmiXZ8,1,3.142626714277213e-05,3.1176604643127465e-05,9,0.0,1,2.8978881139310963e-05,2.9201150114689058e-05,2.8871713511338492e-05,2.9130759159928132e-05,3.100322790726312e-05,0.0005283031869216963,audio_features,spotify:track:3HL3BF9FqU4U7IbXQmiXZ8,https://api.spotify.com/v1/tracks/3HL3BF9FqU4U7IbXQmiXZ8,https://api.spotify.com/v1/audio-analysis/3HL3BF9FqU4U7IbXQmiXZ8,0.9999999999999999,4,Indie,Happy,1
2064,Ken Navarro,When We Dance,09N0r6vIBIEbqcpuAYvKEL,53,3.6847588185873665e-05,3.7899835696471806e-05,7,0.0,0,3.568254579824019e-05,3.8944513081094414e-05,3.909591560060494e-05,3.5888831731073275e-05,3.8312407562137984e-05,0.00038124668437944934,audio_features,spotify:track:09N0r6vIBIEbqcpuAYvKEL,https://api.spotify.com/v1/tracks/09N0r6vIBIEbqcpuAYvKEL,https://api.spotify.com/v1/audio-analysis/09N0r6vIBIEbqcpuAYvKEL,1.0,4,Jazz,Fear,3
2065,Gene Autry,Rudolph the Red-Nosed Reindeer,3St18yCFSdhIQ5qMbq32l4,29,7.863577779775011e-05,7.611900452128144e-05,8,0.0,1,7.553264989623182e-05,7.999590633439489e-05,7.526758547668884e-05,7.645635923706341e-05,7.870539067560989e-05,0.0008364951145468124,audio_features,spotify:track:3St18yCFSdhIQ5qMbq32l4,https://api.spotify.com/v1/tracks/3St18yCFSdhIQ5qMbq32l4,https://api.spotify.com/v1/audio-analysis/3St18yCFSdhIQ5qMbq32l4,1.0,4,Country Music,Sad,2
2066,Queen,We Are The Champions - Remastered 2011,7ccI9cStQbQdystvc6TvxD,64,4.02662959250888e-05,4.133210281556718e-05,7,0.0,0,3.89638910652058e-05,4.088011141175174e-05,3.877081819394637e-05,3.943485494769991e-05,3.9730602409455694e-05,0.0003971442000117094,audio_features,spotify:track:7ccI9cStQbQdystvc6TvxD,https://api.spotify.com/v1/tracks/7ccI9cStQbQdystvc6TvxD,https://api.spotify.com/v1/audio-analysis/7ccI9cStQbQdystvc6TvxD,1.0,4,Rock,Sad,2
2067,Ed Sheeran,First Times,5QYnNhTKsN3kE7OaqILA1U,81,5.268957154204874e-05,5.096786594688325e-05,8,0.0,1,4.971909135738978e-05,5.4050795028226445e-05,4.953131784091705e-05,5.0182337769089e-05,5.142519399559908e-05,0.0005813500351975806,audio_features,spotify:track:5QYnNhTKsN3kE7OaqILA1U,https://api.spotify.com/v1/tracks/5QYnNhTKsN3kE7OaqILA1U,https://api.spotify.com/v1/audio-analysis/5QYnNhTKsN3kE7OaqILA1U,1.0,4,Pop,Sad,2
