,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genres,label,label_encode
8382,Lil Wayne,6 Foot 7 Foot,6BCs8vxnGgKL9eMCOrG2wm,73,2.3307226303340077e-05,2.4859968683921583e-05,2,0.0,1,2.3061844735424343e-05,2.1841803557098675e-05,2.183895954450005e-05,2.311816181658533e-05,2.4268639331731214e-05,0.0003401068984285,audio_features,spotify:track:6BCs8vxnGgKL9eMCOrG2wm,https://api.spotify.com/v1/tracks/6BCs8vxnGgKL9eMCOrG2wm,https://api.spotify.com/v1/audio-analysis/6BCs8vxnGgKL9eMCOrG2wm,1.0,4,Pop,Anger,0
8383,The Neighbourhood,Softcore,2K7xn816oNHJZ0aVqdQsha,73,2.94931041423758e-05,2.945917059060121e-05,9,0.0,0,2.685113475421097e-05,2.694033151887562e-05,2.6707726716761285e-05,2.8092133219110414e-05,2.8499335840405544e-05,0.0004823169619733,audio_features,spotify:track:2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/tracks/2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/audio-analysis/2K7xn816oNHJZ0aVqdQsha,1.0,4,Rock,Anger,0
8384,Joe Walsh,Rocky Mountain Way,0ZVkWkzwyAbuIUtA4pY0gi,16,3.317023650660861e-05,3.308461543723209e-05,4,0.0,1,3.16588660745771e-05,3.15509518156555e-05,3.373787248506779e-05,3.1799982281512475e-05,3.302436357359676e-05,0.0003060794672674,audio_features,spotify:track:0ZVkWkzwyAbuIUtA4pY0gi,https://api.spotify.com/v1/tracks/0ZVkWkzwyAbuIUtA4pY0gi,https://api.spotify.com/v1/audio-analysis/0ZVkWkzwyAbuIUtA4pY0gi,1.0,4,Soft Rock,Anger,0
8385,가수연합,비의 랩소디,0I8CKlMQlCZNsgTM1nbiib,1,2.0442274306769626e-05,2.0598293845363903e-05,2,0.0,1,1.8877992694816017e-05,2.085089690784988e-05,1.877063639325948e-05,1.9117222653993912e-05,1.9164399990664087e-05,0.0005225242937559,audio_features,spotify:track:0I8CKlMQlCZNsgTM1nbiib,https://api.spotify.com/v1/tracks/0I8CKlMQlCZNsgTM1nbiib,https://api.spotify.com/v1/audio-analysis/0I8CKlMQlCZNsgTM1nbiib,1.0,4,K-Hip hop,Sad,2
8386,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,85,5.327498192053566e-05,5.230189690575126e-05,7,0.0,0,5.00524202604631e-05,5.018273398466522e-05,4.987206282255065e-05,5.106704633143421e-05,5.021630826295311e-05,0.0004850231290357,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,1.0,4,Hip hop,Anger,0
8387,Johann Sebastian Bach,"Christmas Oratorio, BWV 248 / Part Five - For The 1st Sunday In The New Year: No. 50 Evangelist: ""Und ließ versammeln alle Hohepriester""",5ZNz3wQH7OfmEvOgNxD0HC,0,0.0003522106508162,0.0003484024534834,10,0.0,0,0.0003488403961767,0.0003597080393152,0.0003482001430001,0.0003496282169999,0.000348889188705,0.0016667646682449,audio_features,spotify:track:5ZNz3wQH7OfmEvOgNxD0HC,https://api.spotify.com/v1/tracks/5ZNz3wQH7OfmEvOgNxD0HC,https://api.spotify.com/v1/audio-analysis/5ZNz3wQH7OfmEvOgNxD0HC,1.0,4,Classical,Sad,2
8388,Bon Jovi,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,81,1.5661626465206785e-05,1.7542997304920558e-05,0,0.0,0,1.345921024353708e-05,1.3530154537731537e-05,1.3232468013653653e-05,1.4777067860377158e-05,1.6878455814997793e-05,0.0005646357591742,audio_features,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/tracks/0rmGAIH9LNJewFw7nKzZnc,https://api.spotify.com/v1/audio-analysis/0rmGAIH9LNJewFw7nKzZnc,1.0,4,Rock,Happy,1
8389,G-Eazy,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,78,2.8925510955789782e-05,2.859943288342592e-05,0,0.0,0,2.6300582473260663e-05,2.599239892925823e-05,2.5919230191069263e-05,2.654752696464842e-05,2.746611275386858e-05,0.0004712742754885,audio_features,spotify:track:40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC,https://api.spotify.com/v1/audio-analysis/40YcuQysJ0KlGQTeGUosTC,1.0,4,Pop,Anger,0
8390,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,78,3.048329842321507e-05,3.153740321647317e-05,10,0.0,0,2.853143930842615e-05,2.7893932868867185e-05,2.777490986180953e-05,2.8561700690050784e-05,2.904588279604493e-05,0.0008854934184092,audio_features,spotify:track:6bnF93Rx87YqUBLSgjiMU8,https://api.spotify.com/v1/tracks/6bnF93Rx87YqUBLSgjiMU8,https://api.spotify.com/v1/audio-analysis/6bnF93Rx87YqUBLSgjiMU8,1.0,4,Pop,Anger,0
8391,Tech N9ne,Caribou Lou,0I0wn4G67txQwENcmRH3d6,65,1.2828545082253766e-05,1.2942592945044092e-05,1,0.0,1,1.104056891076672e-05,1.0411466183762018e-05,9.944237842653263e-06,1.022310326199219e-05,1.2000778336194948e-05,0.0006652375046926,audio_features,spotify:track:0I0wn4G67txQwENcmRH3d6,https://api.spotify.com/v1/tracks/0I0wn4G67txQwENcmRH3d6,https://api.spotify.com/v1/audio-analysis/0I0wn4G67txQwENcmRH3d6,1.0000000000000002,4,K-pop,Happy,1
8392,Trapt,Headstrong,1AEYT6VxrxXPMoQUxsY0E4,74,2.209921001749801e-05,2.3513895621533693e-05,4,0.0,0,2.078607362761341e-05,2.0376977365860237e-05,2.0376384808687176e-05,2.103819581447125e-05,2.2246281293165088e-05,0.0006681237951732,audio_features,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/tracks/1AEYT6VxrxXPMoQUxsY0E4,https://api.spotify.com/v1/audio-analysis/1AEYT6VxrxXPMoQUxsY0E4,1.0,4,Rock,Anger,0
8393,Greydon Park Band,Postcards,1IxO95D87hSIyA20XTLCiU,59,0.0001213978227408,0.0001193081217995,11,0.0,1,0.0001192412686218,0.0001241096895453,0.0001204381561578,0.0001196779708309,0.0001194801069905,0.0006268455857542,audio_features,spotify:track:1IxO95D87hSIyA20XTLCiU,https://api.spotify.com/v1/tracks/1IxO95D87hSIyA20XTLCiU,https://api.spotify.com/v1/audio-analysis/1IxO95D87hSIyA20XTLCiU,1.0,4,Jazz,Fear,3
8394,Mel McDaniel,'57 Chevy And You,4L7gbqxqn5bSImvx7CDdAS,32,5.77324827012494e-05,5.832865424146884e-05,9,0.0,0,5.385352142182169e-05,5.487983393353277e-05,5.365543861974878e-05,5.600166210061235e-05,5.982228831535192e-05,0.0005672860675287,audio_features,spotify:track:4L7gbqxqn5bSImvx7CDdAS,https://api.spotify.com/v1/tracks/4L7gbqxqn5bSImvx7CDdAS,https://api.spotify.com/v1/audio-analysis/4L7gbqxqn5bSImvx7CDdAS,1.0,4,Country Music,Happy,1
8395,Parmalee,Just the Way,5PAvFGse5jjDH9ke8Mae7D,71,1.745383964872807e-05,1.892379954822201e-05,9,0.0,1,1.4856394717552104e-05,1.519990113617069e-05,1.4648021454606298e-05,1.6283029483166227e-05,1.885159099175564e-05,0.0004790934566462,audio_features,spotify:track:5PAvFGse5jjDH9ke8Mae7D,https://api.spotify.com/v1/tracks/5PAvFGse5jjDH9ke8Mae7D,https://api.spotify.com/v1/audio-analysis/5PAvFGse5jjDH9ke8Mae7D,1.0000000000000002,4,Rock,Happy,1
